"DNA.1" "DNA.2" "DNA.3" "DNA.4" "DNA.5" "DNA.6" "RNA.1" "RNA.2" "RNA.3" "RNA.4" "RNA.5" "RNA.6" "group" "group2" "group3"
"chr1:33132512-33132912" 2524 2643 2867 3381 3321 3066 4271 4332 2353 2296 2037 4407 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:32523258-32523658" 875 899 764 963 946 866 2225 3225 1447 1290 1330 1624 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:32537040-32537440" 821 332 465 628 687 685 1305 1287 648 687 426 958 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:32572229-32572629" 199 120 130 196 246 197 71 91 54 33 53 26 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:32634594-32634994" 1185 837 909 1197 1303 1115 590 843 342 292 359 509 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:32749387-32749787" 416 280 436 463 580 456 173 192 132 120 88 147 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:32780466-32780866" 2181 1454 1785 2480 2777 2233 384 518 293 260 302 349 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:33449998-33450398" 1053 755 1056 1015 1173 995 580 541 298 274 276 549 "d0_noncoding" "Neg" "Neg_1"
"chr1:33472823-33473223" 1039 648 943 1278 1491 1179 369 346 261 184 155 312 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:36086643-36087043" 5692 4021 5086 6535 7386 5938 7514 7822 4038 3716 3737 5547 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:36108489-36108889" 318 124 257 276 304 284 277 590 225 197 227 276 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:36271437-36271837" 2630 1139 1967 2368 3220 2618 2954 3067 1686 1487 1478 3442 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:33630803-33631203" 70 93 102 110 118 130 80 112 61 70 20 118 "d0_exon_nonHHE" "Neg" "Neg_2"
"chr13:37336038-37336438" 1149 932 1041 1384 1313 1214 510 484 274 295 261 423 "d0_noncoding" "Neg" "Neg_1"
"chr13:37369566-37369966" 260 151 201 217 273 259 476 312 204 200 172 374 "d0_noncoding" "Neg" "Neg_1"
"chr13:37422736-37423136" 3124 3064 3448 4590 4462 4265 2894 2725 1490 1323 1322 2220 "d0_exon_nonHHE" "Neg" "Neg_2"
"chr13:38219309-38219709" 35 10 25 35 28 24 112 77 78 65 83 134 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:38221364-38221764" 2167 1591 2118 2445 3032 2737 515 649 384 318 366 465 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:33909446-33909846" 2362 2847 2737 2904 2833 2580 2183 2796 1164 1119 1104 1677 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:39210889-39211289" 111 41 53 101 165 109 77 46 41 22 24 33 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:39300243-39300643" 251 66 137 165 289 194 89 60 43 39 46 55 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:39309980-39310380" 279 150 198 257 317 339 414 335 190 192 188 339 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:39332360-39332760" 1245 433 774 1055 1392 1238 2296 1861 1283 1195 1425 2218 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:39442953-39443353" 1415 704 1012 1271 1509 1359 3824 4215 2292 2014 2046 3749 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:41225954-41226354" 738 390 512 804 891 699 922 867 445 446 462 640 "d0_noncoding" "Neg" "Neg_1"
"chr13:41254733-41255133" 240 105 189 190 261 234 495 500 333 243 172 580 "d0_noncoding" "Neg" "Neg_1"
"chr13:42929175-42929575" 980 531 724 938 1137 1045 431 473 345 249 294 552 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:43687738-43688138" 399 359 355 391 493 419 425 520 178 248 253 404 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:34502685-34503085" 94 25 27 48 120 69 63 38 55 29 21 99 "d0_noncoding" "Neg" "Neg_1"
"chr13:45097541-45097941" 643 393 479 704 814 697 168 167 102 78 87 102 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:45491707-45492107" 410 130 236 304 439 406 521 498 217 184 137 474 "d0_noncoding" "Neg" "Neg_1"
"chr13:47419356-47419756" 2391 2768 2430 2968 2846 2423 2190 2613 1140 1062 1331 1265 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:48482392-48482792" 4301 3725 4617 5135 5668 4840 8992 10130 5481 5200 4925 9134 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:48775225-48775625" 13994 9760 12643 14771 17374 14314 7964 8956 4796 4385 2979 7857 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:49066698-49067098" 6089 4955 5596 6684 6855 5847 3116 3971 2056 1862 1865 2696 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:50385064-50385464" 393 142 282 376 549 507 454 358 230 194 203 364 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:50388858-50389258" 12676 15704 14642 16583 16209 13430 6872 7154 3489 3225 2542 4478 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:50410654-50411054" 4625 3416 4091 5609 5739 4673 4323 4375 3011 3188 1794 5989 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:51817870-51818270" 4168 3684 4364 5229 5169 4034 7490 7775 4082 4323 2260 7740 "d0_noncoding" "Neg" "Neg_1"
"chr13:52575283-52575683" 412 210 356 462 483 373 607 682 423 398 347 389 "d0_noncoding" "Neg" "Neg_1"
"chr1:35384643-35385043" 710 470 599 775 826 703 246 319 156 207 132 253 "d0_noncoding" "Neg" "Neg_1"
"chr1:35394843-35395243" 0 0 0 0 0 0 0 0 0 0 0 0 "d0_noncoding" "Neg" "Neg_1"
"chr1:35586334-35586734" 491 267 346 333 646 501 641 621 377 346 237 567 "d0_noncoding" "Neg" "Neg_1"
"chr1:36069089-36069489" 464 350 354 590 656 517 106 137 75 52 54 63 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:61157657-61158057" 237 81 149 130 218 236 106 71 47 38 43 75 "d0_noncoding" "Neg" "Neg_1"
"chr13:73037679-73038079" 516 344 487 474 582 580 251 240 129 83 137 145 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:73178476-73178876" 232 105 192 237 357 285 84 102 58 28 46 51 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:73268516-73268916" 1213 615 846 1098 1344 954 837 870 467 378 420 696 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:76366640-76367040" 457 370 486 563 646 512 484 733 344 247 366 357 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:77711032-77711432" 103 43 49 68 101 75 38 43 19 21 26 34 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:78325656-78326056" 568 345 451 566 645 545 173 169 100 73 78 110 "d0_noncoding" "Neg" "Neg_1"
"chr13:78460992-78461392" 1290 871 1110 1417 1509 1456 769 874 485 449 665 651 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:78484006-78484406" 941 779 802 1098 1194 1052 434 475 275 180 267 285 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:79840089-79840489" 2125 1972 2322 2616 2591 1950 4455 5195 2471 2373 2565 3734 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:79864769-79865169" 1705 1182 1356 1751 1997 1772 2025 2370 1180 1060 1105 1257 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:80596267-80596667" 98 53 71 129 124 129 84 127 61 54 58 88 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:80707014-80707414" 1473 1057 1148 1609 1760 1504 2537 3208 1550 1335 1254 2234 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:80715308-80715708" 408 200 295 416 411 423 200 206 112 110 101 240 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:81122039-81122439" 141 80 131 183 186 179 502 468 319 240 389 479 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:81263863-81264263" 2780 1433 2013 2540 3382 2640 1342 1327 799 750 406 1387 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:81270129-81270529" 129 43 65 93 140 120 43 21 23 18 34 32 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:81758623-81759023" 201 118 149 175 243 205 143 96 39 51 82 83 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:81867730-81868130" 0 0 0 0 0 2 0 0 0 0 0 0 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:81936868-81937268" 2100 1016 1574 2166 2846 2393 2983 2673 1741 1518 1356 3340 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:82346057-82346457" 108 61 84 115 154 109 61 44 39 24 38 46 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:82448483-82448883" 217 138 172 216 261 212 521 493 282 284 245 542 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:82576764-82577164" 493 368 394 520 556 546 1903 1663 1018 892 1071 1651 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:95202132-95202532" 11930 6233 9213 10915 15935 12293 743 503 211 333 1097 753 "d0_noncoding" "Neg" "Neg_1"
"chr1:39571242-39571642" 0 0 0 0 0 0 0 0 0 0 0 0 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:39630692-39631092" 294 224 257 313 365 331 358 394 292 187 171 350 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:39644192-39644592" 2908 1229 1919 2575 3449 3078 8209 6421 4031 3528 3366 7083 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:39657760-39658160" 397 321 412 509 520 486 398 416 146 150 192 245 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:96652334-96652734" 111 68 56 103 126 107 211 228 141 86 136 118 "d0_noncoding" "Neg" "Neg_1"
"chr1:39741748-39742148" 234 77 126 181 347 205 630 529 327 361 157 719 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:97767387-97767787" 6148 5700 6046 7086 8121 6901 4620 5502 2513 2243 2831 3863 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:97777677-97778077" 5530 3037 4157 5275 6632 5627 5583 5265 3200 2798 2167 5374 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:98586866-98587266" 1303 856 1010 1383 1513 1179 812 965 477 405 508 676 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:98683208-98683608" 763 563 656 803 943 726 496 564 259 222 272 415 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr13:99681118-99681518" 105 73 100 111 141 108 145 209 163 139 93 213 "d0_noncoding" "Neg" "Neg_1"
"chr14:100125552-100125952" 1 0 6 1 3 29 1 0 0 0 3 0 "d0_exon_nonHHE" "Neg" "Neg_2"
"chr14:100276179-100276579" 4911 3706 4463 5625 6065 5182 5538 5272 2908 2740 2099 5649 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:101162944-101163344" 6470 5566 6350 7171 8165 6311 7039 7811 3882 3926 2988 7296 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:101175286-101175686" 920 927 971 1030 1063 809 434 396 244 268 210 360 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:102438695-102439095" 4265 3232 3714 4880 5292 4677 2552 2991 1552 1395 1693 2173 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:102877546-102877946" 743 323 423 595 865 645 731 721 437 399 332 749 "d0_noncoding" "Neg" "Neg_1"
"chr14:103607498-103607898" 1560 1403 1546 1849 1843 1661 304 359 186 159 107 335 "d0_noncoding" "Neg" "Neg_1"
"chr14:103911436-103911836" 544 574 596 724 696 744 1190 1397 684 728 736 1004 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:104038354-104038754" 197 165 195 218 228 215 115 114 80 61 69 106 "d0_noncoding" "Neg" "Neg_1"
"chr14:104064010-104064410" 406 187 315 382 443 415 559 483 308 266 195 636 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:41575256-41575656" 1364 967 1381 1595 1985 1524 1460 1886 894 873 1144 1558 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:41616651-41617051" 1139 856 1141 1423 1654 1301 6088 5992 3046 2689 3336 3575 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:22764579-22764979" 41 10 10 24 32 32 24 13 28 4 10 26 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:22802377-22802777" 118 46 86 153 174 149 389 298 206 188 198 253 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:22802979-22803379" 3856 4399 4181 5394 5290 4709 6336 6927 3708 3179 2430 6047 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:22896656-22897056" 987 234 490 708 1169 879 642 627 370 292 436 587 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:22956937-22957337" 532 499 507 737 793 640 681 644 293 195 198 289 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:23169285-23169685" 430 343 418 487 511 535 336 415 227 236 183 329 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:24014367-24014767" 4164 3562 3970 4700 4903 4188 2115 2413 1295 1272 935 1837 "d0_noncoding" "Neg" "Neg_1"
"chr14:31732808-31733208" 1480 1713 1836 2147 2050 1795 1011 1153 645 433 390 731 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:31996407-31996807" 0 0 0 0 0 0 0 0 0 0 0 0 "d0_noncoding" "Neg" "Neg_1"
"chr14:32013374-32013774" 11 15 22 27 29 26 14 20 13 14 11 13 "d0_noncoding" "Neg" "Neg_1"
"chr14:32694180-32694580" 248 82 185 193 337 333 91 70 84 60 34 139 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:32728869-32729269" 479 316 383 520 581 532 31 58 23 21 7 22 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:32851123-32851523" 145 68 86 101 120 114 121 83 90 62 47 87 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:32896212-32896612" 1928 1122 1583 1905 2362 2048 2923 2887 1556 1420 1199 2482 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:32926636-32927036" 85 33 51 88 111 88 134 118 91 61 96 139 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:33030670-33031070" 1163 990 1156 1390 1459 1186 6060 6500 2878 2576 3455 3932 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:33062459-33062859" 597 329 479 680 878 757 2197 1673 1162 1014 1053 1839 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:33076561-33076961" 549 422 500 688 733 517 443 579 216 225 297 336 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:43457703-43458103" 477 306 419 512 677 562 539 426 235 249 179 320 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:43471430-43471830" 6110 3175 4693 5900 7897 6188 11947 11342 6844 6776 5164 13414 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:43515276-43515676" 1580 1093 1295 1604 1773 1606 922 1096 493 431 421 685 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:35628117-35628517" 2930 2661 2776 3219 3350 2991 8663 10559 4764 4017 4568 6586 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:36744961-36745361" 107 22 40 71 139 120 289 172 179 121 139 298 "d0_noncoding" "Neg" "Neg_1"
"chr14:39493367-39493767" 1622 795 1116 1401 1762 1541 1811 2035 1093 1082 1360 1348 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:39886168-39886568" 485 422 438 559 528 549 225 288 123 128 138 249 "d0_noncoding" "Neg" "Neg_1"
"chr14:40235590-40235990" 17971 20894 20201 23707 23663 19966 3071 4027 1774 1435 1550 2155 "d0_noncoding" "Neg" "Neg_1"
"chr14:40809896-40810296" 1320 643 994 1287 1545 1433 820 789 443 399 337 501 "d0_noncoding" "Neg" "Neg_1"
"chr14:40817427-40817827" 7140 5647 6949 8153 9158 7402 7050 7306 4510 4512 2925 10014 "d0_noncoding" "Neg" "Neg_1"
"chr14:41915194-41915594" 62 23 51 57 71 72 47 29 25 22 38 53 "d0_noncoding" "Neg" "Neg_1"
"chr14:45535053-45535453" 1082 816 1119 1330 1421 1305 3874 4018 2219 2096 2261 3038 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:44756178-44756578" 1464 1658 1862 2032 1958 2006 1226 1303 638 684 526 1238 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:49383615-49384015" 1460 1190 1337 1707 1944 1658 528 699 369 341 449 490 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:49407022-49407422" 878 544 814 914 1046 843 130 89 88 38 37 131 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:49432430-49432830" 324 104 184 215 404 314 172 195 114 92 109 156 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:49442299-49442699" 169 85 133 168 212 210 40 30 38 18 28 34 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:49573423-49573823" 298 157 257 296 313 291 321 370 116 95 144 153 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:50807680-50808080" 552 464 477 546 632 498 134 159 88 105 69 76 "d0_exon_nonHHE" "Neg" "Neg_2"
"chr14:52274121-52274521" 1331 853 1067 1310 1487 1278 1965 2210 1005 1059 1144 1746 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:52294811-52295211" 146 156 200 156 239 214 45 72 38 32 30 59 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:52295152-52295552" 128 178 217 251 294 241 314 326 210 158 56 298 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:52351071-52351471" 570 478 590 685 731 716 620 661 322 266 251 466 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:52395851-52396251" 459 196 339 509 734 578 465 501 243 260 177 365 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:52547536-52547936" 1168 620 1043 1171 1478 1349 790 893 447 414 553 538 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:54945379-54945779" 679 498 622 836 871 770 383 389 238 237 261 265 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:55067391-55067791" 1096 900 1091 1307 1349 1144 1204 1131 569 622 473 938 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:55091885-55092285" 417 211 335 403 417 441 223 234 176 129 141 259 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:55110043-55110443" 100 56 101 138 128 149 94 152 43 65 62 56 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:56146388-56146788" 292 151 218 299 286 279 602 651 353 359 383 511 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:56424624-56425024" 662 378 477 659 757 788 1629 1824 892 782 813 1611 "d0_noncoding" "Neg" "Neg_1"
"chr14:57526972-57527372" 293 80 158 186 299 257 141 165 111 84 101 130 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:57757354-57757754" 364 291 263 279 395 278 141 161 86 55 48 65 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:57786276-57786676" 1953 1639 1746 2232 2342 2121 494 553 288 296 282 506 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:59430604-59431004" 659 393 510 666 776 655 607 613 315 300 328 308 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:59533861-59534261" 3877 3625 3897 4512 4590 4280 720 779 472 378 362 588 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:59536249-59536649" 452 221 352 433 533 453 1445 1032 651 573 644 1177 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:59565094-59565494" 780 933 861 1055 920 879 604 705 316 259 316 320 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:59664539-59664939" 167 57 94 108 187 156 38 7 18 20 9 26 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:59719093-59719493" 126 13 37 59 127 92 377 172 293 219 301 454 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:59800454-59800854" 398 195 312 350 391 420 127 182 91 105 111 103 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:59827880-59828280" 2165 1639 1871 2079 2458 2094 1078 1181 559 479 471 839 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:60771197-60771597" 268 170 239 300 269 287 729 730 328 305 264 608 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:46420138-46420538" 109 31 76 112 181 123 76 54 26 36 32 44 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:64326887-64327287" 283 167 240 348 404 342 238 220 139 124 161 184 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:64580932-64581332" 1106 1103 1113 1327 1476 1156 1078 1144 625 623 424 1093 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:46509370-46509770" 2354 1367 1948 2585 3065 2684 787 818 508 454 356 665 "d0_exon_nonHHE" "Neg" "Neg_2"
"chr14:65681461-65681861" 4603 4449 4842 5920 6153 5215 951 960 616 480 392 1050 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr1:46877608-46878008" 1159 794 1105 1177 1448 1203 1013 1245 874 879 747 1765 "d0_exon_nonHHE" "Neg" "Neg_2"
"chr14:68859438-68859838" 2480 2019 2359 3014 3184 2629 1232 1342 689 527 511 788 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:68864612-68865012" 2420 2334 2294 2679 3168 2710 400 420 246 186 93 313 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:68876201-68876601" 1054 1015 1121 1492 1374 1271 371 438 242 226 255 302 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:68887823-68888223" 147 29 93 99 118 107 62 44 22 58 27 29 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:68936000-68936400" 354 116 229 287 389 341 237 265 122 115 93 178 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:68945969-68946369" 504 230 279 437 465 442 1581 1724 982 892 1128 1261 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:68951646-68952046" 234 226 289 335 254 240 251 352 146 99 121 194 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:69014811-69015211" 299 201 264 315 293 282 311 317 162 139 104 202 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:69043160-69043560" 2577 2282 2306 2959 2793 2676 1488 1807 859 882 963 1232 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:69056095-69056495" 3328 2195 2721 3627 3917 3305 5577 5822 3692 3507 2755 7078 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:69152413-69152813" 4256 4053 4411 5241 5302 4518 2117 2565 1393 1311 1301 1614 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:69171459-69171859" 2374 2639 2711 3076 3420 2969 1633 2044 1146 854 447 1650 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:69197099-69197499" 834 237 491 651 940 871 597 555 520 469 502 1127 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:69216245-69216645" 4514 2733 3800 4717 5935 4676 3072 3342 1732 1497 1347 2646 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:69310654-69311054" 200 33 101 119 233 200 81 33 66 45 42 95 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:69391105-69391505" 2265 2483 2443 2964 2814 2559 719 835 391 360 331 800 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:69545845-69546245" 893 548 659 910 1074 847 327 401 149 153 179 259 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr14:71122132-71122532" 417 268 279 377 361 383 297 431 122 83 144 241 "d0_noncoding" "Neg" "Neg_1"
"chr14:71152542-71152942" 498 274 342 472 464 438 232 421 135 156 154 233 "d0_noncoding" "Neg" "Neg_1"
"chr14:71175485-71175885" 166 36 105 124 158 123 88 65 49 25 45 44 "d0_noncoding" "Neg" "Neg_1"
"chr14:72018285-72018685" 2409 2569 2629 3191 3241 2604 1445 1664 826 696 890 1248 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
